2024-06-24 18:35:24.074 User Agent: [Hub 3.8.0], Protocol version: [1.15.4], Session Id: [3eca493921fc48f1831511e94ceb4b68], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2024-06-24 18:35:25.474 User Agent: [Hub 3.8.0], Protocol version: [1.15.4], Session Id: [3eca493921fc48f1831511e94ceb4b68], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2024-06-24 18:36:23.824 User Agent: [Hub 3.8.0], Protocol version: [1.15.4], Session Id: [3eca493921fc48f1831511e94ceb4b68], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2024-06-24 18:38:03.531 User Agent: [Hub 3.8.0], Protocol version: [1.15.4], Session Id: [3eca493921fc48f1831511e94ceb4b68], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2024-06-24 18:38:06.511 User Agent: [Hub 3.8.0], Protocol version: [1.15.4], Session Id: [3eca493921fc48f1831511e94ceb4b68], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18967997630424-UnityPersonal]
2024-06-24 18:38:28.645 User Agent: [Hub 3.8.0], Protocol version: [1.15.4], Session Id: [3eca493921fc48f1831511e94ceb4b68], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18967997630424-UnityPersonal]
2024-06-24 18:38:35.298 User Agent: [Hub 3.8.0], Protocol version: [1.15.4], Session Id: [3eca493921fc48f1831511e94ceb4b68], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18967997630424-UnityPersonal]
2024-06-24 18:38:38.071 User Agent: [Hub 3.8.0], Protocol version: [1.15.4], Session Id: [3eca493921fc48f1831511e94ceb4b68], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18967997630424-UnityPersonal]
2024-06-24 20:37:52.546 User Agent: [Hub 3.8.0], Protocol version: [1.15.4], Session Id: [3eca493921fc48f1831511e94ceb4b68], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18967997630424-UnityPersonal]
2024-06-24 20:37:55.216 User Agent: [Hub 3.8.0], Protocol version: [1.15.4], Session Id: [3eca493921fc48f1831511e94ceb4b68], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18967997630424-UnityPersonal]
2024-06-25 11:35:02.481 User Agent: [Hub 3.8.0], Protocol version: [1.15.4], Session Id: [56ddc4870b004875bf70c3c06c6948b7], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18967997630424-UnityPersonal]
2024-06-25 11:35:03.791 User Agent: [Hub 3.8.0], Protocol version: [1.15.4], Session Id: [56ddc4870b004875bf70c3c06c6948b7], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18967997630424-UnityPersonal]
2024-06-25 11:35:34.392 User Agent: [Hub 3.8.0], Protocol version: [1.15.4], Session Id: [56ddc4870b004875bf70c3c06c6948b7], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18967997630424-UnityPersonal]
2024-06-25 11:35:37.962 User Agent: [Hub 3.8.0], Protocol version: [1.15.4], Session Id: [56ddc4870b004875bf70c3c06c6948b7], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18967997630424-UnityPersonal]
2024-06-25 11:35:44.025 User Agent: [Hub 3.8.0], Protocol version: [1.15.4], Session Id: [56ddc4870b004875bf70c3c06c6948b7], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18967997630424-UnityPersonal]
2024-06-25 11:36:02.201 User Agent: [Hub 3.8.0], Protocol version: [1.15.4], Session Id: [56ddc4870b004875bf70c3c06c6948b7], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18967997630424-UnityPersonal]
2024-06-25 12:11:29.195 User Agent: [Hub 3.8.0], Protocol version: [1.15.4], Session Id: [56ddc4870b004875bf70c3c06c6948b7], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18967997630424-UnityPersonal]
2024-06-25 12:11:29.219 User Agent: [Hub 3.8.0], Protocol version: [1.15.4], Session Id: [56ddc4870b004875bf70c3c06c6948b7], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18967997630424-UnityPersonal]
2024-06-25 12:11:31.158 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2024-06-25 12:11:31.158 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18967997630424-UnityPersonal]
2024-06-25 12:11:33.110 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.editor.headless], Result: [granted: True, group: 18967997630424-UnityPersonal]
2024-06-25 12:12:05.915 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.ai.navigation], Result: [granted: True, group: (null)]
